source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
49kev,49 keV,130.0,1e12,True,True,,97.66645944510726,2.53542067797474,2.3273968959999997e-05,9.179529520359883e-06,6
49kev,49 keV,130.0,1e13,True,True,,72.11870258866644,2.28325715955136,3.548396114e-05,1.5540939395093055e-05,6
49kev,49 keV,130.0,5e13,True,True,,44.41992850734949,1.5486126575761998,3.190695479999999e-05,2.0603573555920005e-05,6
100kev,100 keV,10.0,0,True,True,,27.345493754803385,1.2685858583974001,4.811474258000001e-05,3.79278566456536e-05,6
100kev,100 keV,10.0,1e11,True,True,,27.34531174442685,1.2684461896568,4.862926766e-05,3.8337667026425057e-05,6
100kev,100 keV,10.0,1e12,True,True,,27.34478501074846,1.2671923851994003,4.8120772590000005e-05,3.797432272482281e-05,6
100kev,100 keV,10.0,1e13,True,True,,27.336568542605757,1.2547271599244,4.712279968e-05,3.755621236639147e-05,6
100kev,100 keV,10.0,5e13,True,True,,27.296058027224205,1.2051572183836,4.2555895740000004e-05,3.531148890024282e-05,6
100kev,100 keV,20.0,0,True,True,,60.72929590978462,2.2422099816513996,4.847261216e-05,2.1618230476478236e-05,6
100kev,100 keV,20.0,1e11,True,True,,60.72866949808547,2.241330847775,4.839123195e-05,2.15904010771273e-05,6
100kev,100 keV,20.0,1e12,True,True,,60.72311800038369,2.2332233795876,4.806177266e-05,2.1521256269883474e-05,6
100kev,100 keV,20.0,1e13,True,True,,60.66377592303237,2.1367163714726,3.1990348399999995e-05,1.4971733650335923e-05,6
100kev,100 keV,20.0,5e13,True,True,,58.7516388307122,1.68651013725868,2.3840445719999997e-05,1.4135963486558815e-05,6
100kev,100 keV,30.0,0,True,True,,85.74277072515552,3.0683867778305998,3.848799839999999e-05,1.2543398595665844e-05,6
100kev,100 keV,30.0,1e11,True,True,,85.74098452256291,3.0648054928664,3.856235760000001e-05,1.2582318091558252e-05,6
100kev,100 keV,30.0,1e12,True,True,,85.72148109997205,3.0326982846694,3.879093259999999e-05,1.279089739856158e-05,6
100kev,100 keV,30.0,1e13,True,True,,84.10710338616636,2.590417029249,3.4370697999999994e-05,1.326840335432962e-05,6
100kev,100 keV,30.0,5e13,True,True,,66.87028042297358,1.50546150958704,2.2831864159999996e-05,1.5166023185981657e-05,6
100kev,100 keV,40.0,0,True,True,,96.8505940435128,3.4202324721069997,3.789450200000001e-05,1.1079510620708036e-05,6
100kev,100 keV,40.0,1e11,True,True,,96.82863541114722,3.4118159649688,3.7765665200000004e-05,1.1069080392308135e-05,6
100kev,100 keV,40.0,1e12,True,True,,96.57328850247194,3.3315427236249997,3.7740286e-05,1.1328171099944767e-05,6
100kev,100 keV,40.0,1e13,True,True,,90.65078271674284,2.5075120646254,3.43793646e-05,1.3710548030857022e-05,6
100kev,100 keV,40.0,5e13,True,True,,63.098051846627655,1.3806321031914,2.29277096e-05,1.6606675700935434e-05,6
100kev,100 keV,50.0,0,True,True,,99.18067316416088,3.7043086673747996,3.92717712e-05,1.0601646549025692e-05,6
100kev,100 keV,50.0,1e11,True,True,,99.17107335131412,3.6939892648338,3.9072814200000005e-05,1.0577403289166833e-05,6
100kev,100 keV,50.0,1e12,True,True,,99.06180903550273,3.5985313682268,3.97033352e-05,1.103320525438801e-05,6
100kev,100 keV,50.0,1e13,True,True,,95.72533489781108,2.6858090745632,3.8355980799999995e-05,1.4280978183915746e-05,6
100kev,100 keV,50.0,5e13,True,True,,57.29221299836046,1.458837290413,2.6000110000000003e-05,1.782248792984947e-05,6
100kev,100 keV,60.0,0,True,True,,99.36193199170319,3.8431160107778,3.98736812e-05,1.0375351950910806e-05,6
100kev,100 keV,60.0,1e11,True,True,,99.35795029361117,3.8336645247032,3.9753230800000006e-05,1.0369512132279669e-05,6
100kev,100 keV,60.0,1e12,True,True,,99.32043316906693,3.7463048978374,4.064394860000001e-05,1.0849076545654952e-05,6
100kev,100 keV,60.0,1e13,True,True,,97.39259794781923,2.87527511433512,4.4200690479999996e-05,1.537268216861432e-05,6
100kev,100 keV,60.0,5e13,True,True,,54.54903886170179,1.5670023863372,2.9542765800000005e-05,1.885304455027343e-05,6
100kev,100 keV,70.0,0,True,True,,99.35675195764534,3.921469305019,4.211195099999999e-05,1.0738819489445412e-05,6
100kev,100 keV,70.0,1e11,True,True,,99.3524743878197,3.91439220556,4.207906899999999e-05,1.0749834658936555e-05,6
